IP,Hostname,Anti-clickjacking,X-XSS-Protection,No CGI Directories found,valid response with junk HTTP,Allowed HTTP Methods,which may suggest a WAF,shellshock,OSVDB-637,OSVDB-578
213.186.33.87,mnp-postscriptum.com,1,1,1,0,1,1,0,0,0
142.250.66.225,ninjagun.blogspot.com,1,0,1,0,0,0,0,0,0
134.236.212.2,hinsorn.ac.th,1,1,1,1,1,0,0,0,0
192.185.73.188,dmrservice.com,1,1,1,0,0,0,0,0,0
5.79.66.145,csgoface.kl.com.ua,1,1,1,0,0,0,0,0,0
217.160.0.175,cheaproomsvalencia.com,1,1,1,0,1,1,0,0,0
92.53.118.116,www.taxcom-online.ru,1,1,1,1,0,0,0,1,1
81.27.85.24,www.dexamfetamine.eu,0,0,0,0,0,0,0,0,0
192.185.30.211,www.seniorshare.net,1,1,1,0,0,0,0,0,0
119.207.79.151,leesangku.com,1,1,1,0,0,0,0,0,0
195.208.1.105,kamazcentr.nichost.ru,1,1,1,0,0,0,0,0,0
204.11.56.48,jobs.finddynamic.com,1,1,1,0,0,0,0,0,0
204.11.56.48,www.sentosahosting.com,1,1,1,0,0,0,0,0,0
209.97.128.227,integralgroupeg.com,1,1,1,0,0,0,0,0,0
209.97.128.227,integralgroupeg.com,1,1,1,0,0,0,0,0,0
45.60.25.13,inteca.net,1,1,0,0,0,0,0,0,0
108.167.165.228,accessshopthemes.com,1,1,1,0,0,0,0,0,0
13.211.71.186,www.redbankfarm.com.au,1,1,1,0,0,0,0,0,0
192.185.30.211,seniorshare.net,1,1,1,0,0,0,0,0,0
77.245.148.88,erzincansydv.gov.tr,1,1,1,0,1,0,0,0,0
208.112.30.80,www.paws.org.au,1,1,1,1,0,0,0,0,0
208.112.30.80,www.paws.org.au,1,1,1,1,0,0,0,0,0
208.112.30.80,www.paws.org.au,1,1,1,1,0,0,0,0,0
192.254.233.201,www.tvanetworks.com,1,1,1,0,0,0,0,0,0
1.214.118.210,www.kipco.kr,1,1,1,0,1,0,0,0,0
109.24.46.2,assistance.sfr.re,1,1,1,0,1,1,0,0,0
192.185.121.187,www.tooldealsonline.com,1,1,1,0,0,0,0,0,0
91.217.242.35,www.srodkidlagastronomii.pl,1,1,0,0,0,0,0,0,0
91.217.242.35,www.srodkidlagastronomii.pl,1,1,0,0,0,0,0,0,0
45.14.148.151,www.diycarbonwheels.com,1,1,1,0,0,0,0,0,0
162.241.253.93,interplaydesign.com,1,1,1,0,0,0,0,0,0
204.11.56.48,busybodiesgymzambia.com,1,1,1,0,0,0,0,0,0
87.236.19.141,stolizaparketa.ru,1,1,1,1,0,0,0,0,0
192.185.115.27,stomatologievalcea.ro,1,1,1,0,0,0,0,0,0
192.185.141.56,hafalimited.com,1,1,1,0,0,0,0,0,0
192.254.190.110,spiritad.net,1,1,1,0,0,0,0,0,0
154.83.89.229,www.romerabistrot.com,1,1,1,0,1,0,0,0,0
154.83.89.229,www.romerabistrot.com,1,1,1,0,1,0,0,0,0
23.226.129.102,nipponimportsltd.com,1,1,0,0,0,1,0,0,0
94.229.72.119,www.dr-chamani.com,1,1,0,0,0,0,0,0,0
202.170.69.9,containerhouse.mn,1,1,1,1,1,0,0,0,0
103.1.237.73,caxiemdalekhanh.com,1,1,1,0,0,0,0,0,0
103.1.237.73,caxiemdalekhanh.com,1,1,1,0,0,0,0,0,0
217.160.0.175,cheaproomsvalencia.com,1,1,1,0,1,1,0,0,0
209.99.64.76,ancagilca.com,1,1,1,0,0,0,0,1,1
217.160.0.175,cheaproomsvalencia.com,1,1,1,0,1,1,0,0,0
108.161.139.179,sketchuae.com,1,1,0,0,0,0,0,0,0
154.0.169.81,autoscene.co.za,1,1,1,0,0,0,0,0,0
142.4.27.130,ciilogistics.com,1,1,1,0,1,0,0,0,0
20.190.142.75,login.windows-ppe.net,1,1,1,0,0,0,0,0,0
23.227.38.32,rumenterprise.com,0,0,1,0,0,0,0,0,0
103.1.237.73,caxiemdalekhanh.com,1,1,1,0,0,0,0,0,0
173.239.8.164,azur-residence.com,1,1,1,0,0,0,0,0,0
173.239.8.164,azur-residence.com,1,1,1,0,0,0,0,0,0
66.155.35.240,thestoneshopchicago.com,1,1,1,0,0,0,0,0,0
66.155.35.240,thestoneshopchicago.com,1,1,1,0,0,0,0,0,0
204.11.56.48,classicfunnyvideos.com,1,1,1,0,0,0,0,0,0
192.155.108.148,tidatip.com,1,1,0,0,0,0,0,0,0
192.185.4.49,sambackhouse.com,1,1,1,1,0,0,0,1,0
67.225.160.188,support-service.drtomwalter.com,1,1,0,0,0,0,0,0,0
91.195.240.13,directlinedubai.com,1,1,1,0,0,0,0,1,1
27.121.67.67,kmh.com.au,1,1,1,0,0,0,0,0,0
190.110.123.241,solovinilos.cl,1,1,0,0,0,0,0,0,0
198.54.125.196,www.viralmagnews.com,1,1,0,0,0,0,0,0,0
27.121.66.160,www.jennieflack.com,1,1,1,0,0,0,0,0,0
77.55.251.86,www.bajer.info.pl,1,1,1,0,0,0,0,0,0
103.229.74.247,khairamakeup.co.id,1,1,1,1,0,0,0,0,0
204.11.56.48,paypal-account-security-service.mytelevisionprograms.com,1,1,1,0,0,0,0,0,0
173.239.8.164,azur-residence.com,1,1,1,0,0,0,0,0,0
173.239.8.164,azur-residence.com,1,1,1,0,0,0,0,0,0
173.239.8.164,azur-residence.com,1,1,1,0,0,0,0,0,0
173.239.8.164,azur-residence.com,1,1,1,0,0,0,0,0,0
